compress_error_test,compress_error_train,past_n_steps,reduced_ranks
12.121487092998798,12.12427469037415,8.0,"[4, 7, 10, 10]"
23.926229577899107,23.637099658194604,8.0,"[3, 5, 5, 5]"
40.09039663412383,39.183382301839565,8.0,"[3, 3, 3, 3]"
11.991992973985273,11.983519884985247,8.0,"[4, 7, 10, 10]"
23.772862792691033,23.47938515727588,8.0,"[3, 5, 5, 5]"
39.8933764755418,39.00829924595173,8.0,"[3, 3, 3, 3]"
11.87211517721471,11.855118348181218,8.0,"[4, 7, 10, 10]"
23.64713986203132,23.34960934883076,8.0,"[3, 5, 5, 5]"
39.72601174125654,38.85587507364533,8.0,"[3, 3, 3, 3]"
