,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
552,111.93645,113.43474,105.0,115.0,118.0,110.0,105.0,67.0,105.0,109.333336,109.984116,112.90497,115.01814,110.22624,115.28074,115.69202,110.82018,120.382095,118.05133,112.09552,114.499054,118.31506,110.62476,100.84448,100.995316,107.21112,111.85777,112.14052,109.96445,113.72693,114.70397171050566
553,92.505554,96.90226,95.0,110.0,100.0,100.0,93.0,64.0,95.0,96.0,95.12639,106.54004,110.296616,98.63501,101.164,99.90056,97.291,100.18056,99.15444,97.045135,105.58988,110.17035,98.39747,80.74156,78.557076,92.185394,96.64687,91.97388,96.16172,103.20975,102.0826146436477
554,100.483505,97.097015,90.0,100.0,101.0,100.0,93.0,59.0,90.0,94.666664,96.12088,115.91197,116.548386,99.978,100.864494,99.822266,96.216125,101.86124,100.20541,96.46531,112.59125,118.1962,99.14781,82.12402,82.40811,91.531006,102.24196,97.94524,96.560486,112.25748,112.16905647267785
555,97.166275,94.57657,91.0,100.0,98.0,100.0,95.0,74.0,91.0,94.666664,95.291565,103.450035,103.244545,96.86251,94.923584,93.79663,94.730896,96.17885,93.42325,95.04471,104.921906,105.95558,97.23048,74.99321,72.17524,89.74831,98.0535,89.9509,95.513374,102.823044,101.77007842416086
556,95.08789,96.36333,94.0,100.0,96.0,100.0,99.0,70.0,94.0,96.333336,96.02197,98.81198,101.00581,96.952995,92.70969,95.72481,95.42742,94.22233,90.90007,95.80558,102.55438,108.497055,97.888596,76.72841,75.424126,91.4321,99.741135,97.88185,97.18529,98.93063,97.59608157907788
557,91.09122,91.009575,88.0,105.0,99.0,100.0,93.0,71.0,88.0,93.333336,92.772804,86.38208,93.168304,91.59552,86.25888,93.44086,91.56472,88.03816,86.70825,92.00954,90.25787,97.44896,92.56447,71.225815,70.93383,87.80646,90.444016,93.915375,92.61101,89.250565,87.93261333322612
558,85.76401,85.34861,79.0,105.0,99.0,95.0,92.0,67.0,79.0,90.0,88.941,75.79093,83.58906,86.44773,83.01512,79.409096,88.253784,81.788826,75.764915,87.947205,79.85843,81.25821,87.46461,66.360596,63.2457,84.09015,86.63873,85.7883,89.15968,80.81165,79.8964801881001
559,93.65849,93.68118,89.0,110.0,106.0,95.0,94.0,67.0,89.0,96.333336,95.66463,77.09291,80.58522,91.523224,86.12802,84.16803,93.782005,86.21227,81.362595,93.80307,75.12438,84.082275,91.0311,70.25542,68.326935,89.81386,94.288956,90.15373,95.822235,84.558815,84.64255921830119
560,97.4532,91.66873,91.0,115.0,103.0,100.0,96.0,70.0,91.0,96.666664,96.8633,80.31023,83.37225,92.57756,87.68885,85.55567,94.42221,88.71099,86.75574,94.67775,78.69942,89.58798,92.17485,70.47266,68.42792,90.118164,93.119415,90.47624,95.779854,87.99745,88.29413924520227
561,97.15457,97.69794,100.0,115.0,111.0,105.0,103.0,74.0,100.0,104.666664,102.78864,79.05366,91.70614,98.26341,94.71994,92.40955,102.179985,95.233826,93.29382,102.30846,96.984695,92.25119,102.74617,71.19582,68.247665,96.29896,94.71822,96.764404,102.17956,86.94498,87.4466075777895
