,OFCL,DSHP,HURR_STAT_TRANSFO,SHIP,HWRF,FSSE,GFSO,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,TRUTH,HURR_STAT_GRU,Consensus_HURR_STAT_GRU,HURR_STAT_COMP,Consensus_HURR_STAT_COMP,HURR_STAT,Consensus_HURR_STAT,HURR_GRU_ONLY,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY,Consensus_HURR_TRANSFO_ONLY
347,105.0,108.0,109.771286,108.0,98.0,94.0,73.0,100.0,102.442825,100.0,109.60628,102.401566,100.51808,100.12952,107.40616,101.85154,104.34621,101.08655,52.62511,88.15628
348,95.0,98.0,103.81464,98.0,91.0,84.0,71.0,91.0,94.20366,95.0,102.447174,93.86179,99.832275,93.20807,100.78125,93.44531,96.60486,92.401215,42.744457,78.93611
349,95.0,97.0,104.17146,97.0,91.0,84.0,73.0,90.666664,94.04286,90.0,107.1522,94.78805,101.771774,93.44295,98.5126,92.62815,98.00188,92.50047,47.837368,79.95934
350,90.0,98.0,96.59172,98.0,91.0,87.0,65.0,92.0,93.147934,90.0,98.26025,93.56506,89.99637,91.49909,84.18914,90.04729,92.90561,92.2264,53.02031,82.25508
351,90.0,95.0,88.68358,95.0,93.0,80.0,63.0,89.333336,89.1709,90.0,92.47269,90.11817,87.26004,88.81501,80.627556,87.15689,87.96945,88.99236,57.552128,81.38803
352,75.0,78.0,82.363846,78.0,82.0,68.0,64.0,76.0,77.59096,85.0,83.834335,77.95859,79.80574,76.95143,74.646225,75.66156,81.693016,77.423256,57.610905,71.402725
353,70.0,69.0,73.5332,69.0,77.0,66.0,65.0,70.666664,71.3833,80.0,75.83784,71.95946,77.17439,72.293594,72.006325,71.00158,73.884415,71.4711,54.395607,66.5989
354,65.0,60.0,83.21045,60.0,74.0,60.0,66.0,64.666664,69.30261,75.0,87.03558,70.258896,80.567505,68.64188,78.96556,68.241394,82.71225,69.17806,58.312393,63.0781
355,70.0,71.0,77.4498,71.0,74.0,67.0,62.0,70.666664,72.36245,70.0,84.219795,74.05495,86.152245,74.53806,82.49774,73.624435,78.347786,72.586945,65.3944,69.3486
356,65.0,70.0,61.080196,70.0,61.0,63.0,56.0,64.666664,63.77005,65.0,65.580734,64.89519,67.06089,65.26522,61.941467,63.985367,66.59666,65.14916,55.640327,62.41008
357,60.0,60.0,54.303814,60.0,58.0,58.0,55.0,58.666668,57.575954,60.0,59.52807,58.88202,53.601757,57.40044,51.776638,56.94416,58.712963,58.67824,52.737736,57.184433
358,55.0,52.0,52.44243,52.0,58.0,52.0,55.0,54.0,53.610607,55.0,63.93329,56.483322,49.845306,52.961327,47.30262,52.325653,60.493385,55.623344,49.578144,52.894535
359,50.0,48.0,44.080048,48.0,54.0,48.0,55.0,50.0,48.52001,45.0,50.458626,50.114655,48.30835,49.577087,48.060776,49.515194,51.760582,50.440147,46.0867,49.021675
360,45.0,43.0,42.049805,43.0,44.0,44.0,52.0,43.666668,43.26245,45.0,42.396545,43.349136,40.4455,42.861374,39.907246,42.72681,43.970974,43.742744,42.68966,43.422417
361,40.0,35.0,39.442738,35.0,43.0,40.0,49.0,39.333332,39.360683,45.0,37.805714,38.951427,35.740112,38.435028,37.37879,38.844696,39.031982,39.257996,37.749863,38.937466
362,35.0,29.0,35.7442,29.0,43.0,37.0,43.0,36.333332,36.18605,40.0,34.512352,35.87809,34.23586,35.808964,34.310394,35.8276,33.444786,35.6112,37.634377,36.658592
363,30.0,31.0,30.153177,31.0,62.0,35.0,51.0,42.666668,39.538296,35.0,29.096294,39.274075,32.438507,40.109627,30.42862,39.607155,27.707218,38.926804,34.628563,40.657143
364,30.0,29.0,34.721916,29.0,44.0,34.0,44.0,35.666668,35.43048,35.0,36.44207,35.86052,36.11698,35.779243,34.930733,35.48268,37.857758,36.21444,37.819435,36.204857
365,30.0,32.0,37.887596,32.0,38.0,35.0,49.0,35.0,35.7219,35.0,35.68502,35.171257,41.333134,36.583282,41.147636,36.53691,33.350037,34.58751,39.2773,36.069324
366,30.0,32.0,34.732536,32.0,37.0,31.0,48.0,33.333332,33.683136,35.0,30.079723,32.51993,34.11003,33.527508,33.799156,33.44979,29.098307,32.27458,40.51149,35.127872
367,30.0,26.0,28.039995,26.0,30.0,28.0,42.0,28.0,28.009998,30.0,28.268564,28.06714,30.428669,28.607166,29.200974,28.300243,27.197956,27.799488,36.976704,30.244175
368,55.0,51.0,46.15251,51.0,60.0,62.0,39.0,57.666668,54.788128,40.0,50.748146,55.937035,48.314,55.3285,49.729244,55.682312,54.03822,56.759556,42.16268,53.790672
369,50.0,55.0,43.072235,55.0,62.0,61.0,45.0,59.333332,55.26806,45.0,44.72738,55.681847,47.19907,56.299767,45.703186,55.925797,43.75239,55.4381,42.422,55.1055
370,55.0,56.0,35.474716,56.0,61.0,60.0,46.0,59.0,53.11868,50.0,32.984512,52.496128,37.464867,53.61622,36.51778,53.379444,31.387493,52.096874,42.74389,54.935974
371,50.0,47.0,33.075493,47.0,58.0,54.0,44.0,53.0,48.018875,50.0,34.803017,48.450752,34.744537,48.436134,34.862816,48.465706,35.168663,48.542168,41.51364,50.12841
372,55.0,60.0,44.35517,60.0,55.0,65.0,46.0,60.0,56.08879,45.0,46.45494,56.613735,44.928207,56.23205,43.995052,55.998764,50.07192,57.51798,46.198814,56.549706
373,60.0,66.0,50.863533,66.0,61.0,70.0,57.0,65.666664,61.96588,45.0,53.102814,62.525703,51.461052,62.115265,54.855747,62.963936,54.53645,62.884113,52.563576,62.390892
