,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_MLP_MSE,CONSENSUS_HURR_4_XGB_ElasticNet_MSE
745,69.73502,63.52108,85.0,85.0,63.0,85.0,81.0,62.0,85.0,76.333336,74.683754,75.39781,70.39347,76.09946,64.14834,60.562572,73.28709,63.77659,60.772194,73.194145,78.99788,74.61606,76.999466,50.84812,53.137318,69.96203,63.04723,62.235577,73.01181,76.69768492579198,74.54183
746,70.205635,62.313858,80.0,85.0,81.0,80.0,82.0,68.0,80.0,81.0,78.30141,78.281555,80.26455,80.32039,67.29735,69.17562,77.57434,63.853806,65.92992,76.713455,73.75843,74.81701,79.189606,53.672398,50.465134,74.1681,62.42327,64.07556,76.35582,79.18071686456618,76.946594
747,71.29643,64.21791,73.0,85.0,78.0,75.0,77.0,58.0,73.0,76.0,74.82411,80.037125,79.734634,77.00928,75.919235,76.00008,75.97981,64.294365,67.16942,73.07359,79.03603,76.8911,76.75901,53.441406,54.73459,70.36035,62.134716,68.54984,72.533676,79.06073883021887,79.64563
748,59.70451,61.621727,72.0,85.0,68.0,75.0,73.0,63.0,72.0,71.0,68.176125,70.174034,64.76964,70.79351,69.91837,64.55373,70.72959,62.08419,66.08678,68.77105,74.595634,66.507904,71.89891,59.545013,58.568615,68.13625,60.225857,65.018524,68.306465,67.09527852538035,67.04003
749,74.16563,75.574814,70.0,80.0,76.0,85.0,68.0,77.0,70.0,71.333336,72.041405,76.45677,76.82624,72.6142,72.99009,77.818985,71.74752,72.47262,75.302,71.61816,72.65978,71.97556,71.66495,58.152832,59.098045,68.03821,75.02852,79.321945,72.257126,76.49516946414633,76.629974
750,48.159523,46.880833,43.0,35.0,33.0,45.0,42.0,39.0,43.0,39.333332,41.53988,45.1316,48.257267,40.782898,46.86403,44.960503,41.216007,48.067856,44.272743,41.516964,47.216095,46.549934,41.304024,50.437576,50.52645,42.109394,51.229168,48.390976,42.307293,45.77282894847216,45.945198
751,46.635788,47.858063,40.0,35.0,35.0,45.0,39.0,38.0,40.0,38.0,40.158947,46.037636,48.44863,40.009407,43.579834,44.507812,39.39496,44.92698,42.715965,39.731743,48.86674,48.87898,40.716686,52.007095,48.397514,41.501774,46.68519,48.41045,40.171295,45.64968741608003,46.001583
752,44.066475,46.03159,39.0,40.0,42.0,40.0,45.0,41.0,39.0,42.0,42.516617,46.28079,45.050285,43.070198,42.657066,41.20702,42.16427,44.119263,43.164024,42.529816,46.73324,46.28812,43.18331,48.039585,47.068905,43.509895,43.404205,41.772095,42.35105,44.4253617426071,44.812332
753,33.194637,34.14717,35.0,45.0,37.0,40.0,43.0,40.0,35.0,38.333332,37.04866,34.006554,33.53125,37.25164,33.926785,33.09158,37.231697,34.727226,35.719498,37.43181,35.18242,34.374546,37.545605,40.863132,43.50949,38.965782,32.589462,32.56522,36.897366,33.544617182361044,32.570957
754,31.487663,31.458319,33.0,50.0,39.0,35.0,39.0,40.0,33.0,37.0,35.621918,29.947096,31.579863,35.236774,31.58595,31.53626,35.64649,31.432945,31.952625,35.60824,30.84952,30.542862,35.46238,45.22804,40.22908,39.05701,31.354067,31.01358,35.588516,30.34119389051081,29.68223
755,32.298927,32.516823,38.0,45.0,43.0,30.0,44.0,37.0,38.0,41.666668,39.32473,34.428684,34.76116,39.85717,33.536118,32.547493,39.63403,34.083458,33.6987,39.770866,34.3106,33.774834,39.827652,43.575203,40.219757,42.1438,32.157707,31.353933,39.28943,33.38112459772648,32.441833
756,40.010426,41.028584,47.0,45.0,52.0,50.0,50.0,41.0,47.0,49.666668,47.252605,44.672424,46.41855,48.418106,46.24827,45.484543,48.812065,47.057796,45.32225,49.01445,45.411316,45.497494,48.60283,44.669556,45.998013,48.41739,38.745003,37.775417,46.93625,39.73493670837681,41.347954
757,52.520245,54.343243,45.0,45.0,46.0,50.0,48.0,47.0,45.0,46.333332,47.880062,56.17511,54.021873,48.793777,53.423172,52.352577,48.105793,53.76675,53.722958,48.19169,53.33278,55.136257,48.083195,53.61371,50.63497,48.153427,52.875256,43.906296,47.968815,54.476104463132344,54.486694
758,60.32752,59.440754,60.0,45.0,62.0,60.0,64.0,52.0,60.0,62.0,61.58188,61.320534,59.690147,61.83013,60.42018,60.119827,61.605045,62.150158,63.566517,62.03754,59.126354,58.19223,61.28159,58.231922,56.132828,61.05798,65.78906,61.457756,62.947266,60.019160341613286,60.74321
759,46.388477,47.575806,52.0,50.0,67.0,55.0,57.0,54.0,52.0,58.666668,55.59712,40.97184,41.69315,54.242958,44.260345,46.598446,55.065086,42.602333,41.90901,54.65058,38.47974,38.971905,53.619934,50.772938,50.518105,56.693233,51.54492,51.240707,56.88623,44.08048856802218,43.46678
760,46.962883,45.93539,49.0,55.0,62.0,55.0,56.0,61.0,49.0,55.666668,53.490723,49.164455,46.63314,54.041115,43.83396,45.56382,52.70849,42.377937,42.420887,52.344482,43.743095,46.400925,52.685776,47.191647,46.517616,53.547913,42.99036,44.77472,52.49759,49.06731511548229,48.744892
761,49.64087,47.254654,49.0,55.0,59.0,55.0,55.0,58.0,49.0,54.333332,53.160217,51.375725,47.836357,53.593933,45.70085,45.09915,52.175213,46.03396,46.377583,52.25849,42.20217,44.4013,51.300545,48.76448,50.87561,52.94112,46.92984,46.535015,52.48246,50.761678923238776,50.89597
762,59.64163,62.77542,56.0,50.0,47.0,55.0,57.0,50.0,56.0,53.333332,54.910408,64.61259,61.92337,56.153145,58.71958,55.08187,54.679893,57.317436,62.045532,54.32936,58.287415,58.83747,54.571854,52.90734,52.122402,53.226837,60.14551,61.33738,55.036377,63.89061633893425,63.338364
763,58.556347,61.856796,55.0,50.0,44.0,60.0,50.0,45.0,55.0,49.666668,51.889088,57.757862,56.587692,51.689465,57.344036,59.99346,51.58601,57.04603,62.634205,51.511505,51.366665,52.974697,50.091667,53.44423,51.542625,50.611057,59.12052,62.513763,52.03013,58.80887834620379,58.47358
764,61.77748,61.51107,56.0,50.0,54.0,60.0,55.0,49.0,56.0,55.0,56.69437,64.87583,63.33027,57.468956,60.324383,61.57151,56.331097,63.52348,66.9384,57.13087,63.162354,63.872402,57.04059,57.557182,55.714256,55.639297,61.73959,62.45106,56.6849,62.11786162772176,63.340378
765,57.0786,57.162388,54.0,45.0,60.0,55.0,57.0,59.0,54.0,57.0,57.01965,57.788467,57.315784,57.197117,59.52566,57.125935,57.631416,58.963432,62.671906,57.49086,54.430115,55.537815,56.35753,55.134197,54.661255,56.53355,57.405632,59.66127,57.10141,57.62702406935359,57.489697
766,46.391907,45.575706,47.0,45.0,60.0,50.0,51.0,52.0,47.0,52.666668,51.097977,46.71412,46.522297,51.178528,45.421967,45.383743,50.85549,46.384228,46.45739,51.096058,46.602135,46.941006,51.150536,48.80719,49.252964,51.701797,45.81694,46.85615,50.954235,45.97607974714768,46.158268
767,46.572384,44.57843,45.0,45.0,50.0,45.0,48.0,60.0,45.0,47.666668,47.393097,51.31544,50.457684,48.57886,44.76977,44.771313,46.942444,46.343388,46.78856,47.335846,50.85766,49.606113,48.464417,47.430088,47.916958,47.60752,44.788727,46.230186,46.94718,48.55045247345346,48.968353
768,44.626022,45.090076,41.0,45.0,41.0,40.0,35.0,50.0,41.0,39.0,40.406506,50.038227,48.37024,41.759556,46.95533,47.41043,40.98883,48.419735,47.347305,41.354935,49.48987,47.927105,41.622467,42.76747,44.042995,39.941868,43.1879,43.265556,40.046974,46.58952221086958,46.89506
769,39.186752,38.783756,40.0,40.0,34.0,40.0,38.0,46.0,40.0,37.333332,37.796688,40.760277,39.595802,38.19007,38.62935,38.671516,37.657337,39.909916,39.608604,37.977478,40.74064,41.372147,38.185158,40.75022,41.394173,38.187553,37.926647,38.684425,37.481663,39.14130661100033,39.295
770,40.30373,42.284977,36.0,40.0,32.0,40.0,32.0,37.0,36.0,33.333332,35.07593,41.7775,42.004017,35.444374,40.1069,41.032944,35.026726,42.2196,42.594643,35.5549,40.958885,42.631798,35.239723,40.786377,41.67009,35.196594,38.59106,40.52388,34.647766,39.75880483381792,40.146843
771,61.488503,65.85821,56.0,65.0,50.0,65.0,65.0,47.0,56.0,57.0,58.122124,62.819862,60.46616,58.454964,59.005795,59.077732,57.50145,59.98931,61.091232,57.74733,62.665585,60.52483,58.416397,57.152126,55.569336,57.038033,66.87295,60.694458,59.46824,62.32797605173816,62.641834
